12/13/2019,PAYMENT - THANK YOU,,750.41,0.00
12/13/2019,SHOPPERSDRUGMART0968,91.47,,91.47
12/14/2019,LOBLAWS #27,4.29,,95.76
12/15/2019,NANDO'S MASONVILLE,18.86,,114.62
12/15/2019,STARBUCKS 15744,2.57,,117.19
12/17/2019,UBER EATS HELP.UBER.COM,32.69,,149.88
12/19/2019,UberBV,5.55,,155.43
12/19/2019,UBER EATS HELP.UBER.COM,37.73,,193.16
12/20/2019,JACK ASTOR'S DUNDAS SQUAR,112.10,,305.26
12/20/2019,LCBO/RAO #0457,68.35,,373.61
12/20/2019,CITIPARK INC,27.00,,400.61
12/20/2019,EATALY TORONTO,5.54,,406.15
12/20/2019,INDIGO 278,40.58,,446.73
12/21/2019,UberBV,14.74,,461.47
12/21/2019,UberBV,11.75,,473.22
12/21/2019,ROOTS  DON MILLS,393.24,,866.46
12/21/2019,FIRKIN ON YONGE,12.03,,878.49
12/21/2019,MADISON AVE. PUB,32.72,,911.21
12/21/2019,MADISON AVE. PUB,10.33,,921.54
12/23/2019,ORETTA,113.11,,1034.65
12/24/2019,UberBV,9.18,,1043.83
01/05/2020,LOBLAWS #27,105.56,,1149.39
01/05/2020,LCBO/RAO #0310,39.70,,1189.09
01/06/2020,PAYMENT - THANK YOU,,1043.83,145.26
01/07/2020,UberBV,9.44,,154.70
01/09/2020,UBER BV,9.94,,164.64
01/09/2020,UberBV,10.00,,174.64
01/09/2020,UberBV,10.07,,184.71
01/11/2020,DOMINOS PIZZA 10250,42.26,,226.97